Outlet ID,Outlet Name,Location 1,Outlet Code,Zomato Link,Food Panda Links
530ef84902bc583c21000004,Biryani Blues (Supermart),Supermart 1,BB1,https://www.zomato.com/ncr/biryani-blues-dlf-phase-4-gurgaon,http://www.foodpanda.in/restaurant/n4hm/biryani-blues
530ef95f02bc583c2100000d,Biryani Blues (Ninex City Mart),Ninex City Mart,BB2,https://www.zomato.com/ncr/biryani-blues-sohna-road-gurgaon,http://www.foodpanda.in/restaurant/n4hm/biryani-blues
530ef9f502bc583c21000010,Joint Cafe!,DLF Galleria,JCF,https://www.zomato.com/ncr/the-joint-cafe-dlf-phase-4-gurgaon,
530eff0e02bc583c2100001b,"Cocktails n Dreams, Speakeasy","Sec 15, Part 2",CDS,https://www.zomato.com/ncr/cocktails-dreams-speakeasy-sector-15-gurgaon,
53142d821c33946a3d000088,Vapour,MGF Megacity Mall,VAP,https://www.zomato.com/ncr/vapour-pub-brewery-mg-road-gurgaon,
531435a01c33946a3d000090,Canton Spice Company,Cyber Hub,CSC,https://www.zomato.com/ncr/canton-spice-company-dlf-cyber-city-gurgaon,
531457301c33946a3d0000a3,Cooper's Grill & Bar,DLF Star Tower,CGB,https://www.zomato.com/ncr/coopers-grill-bar-sector-30-gurgaon,
5316d59326b019ee59000026,Crusty - Gourmet Pizza & More (Galleria),DLF Galleria,CG1,https://www.zomato.com/ncr/crusty-gourmet-pizzas-more-dlf-phase-4-gurgaon,
5318bcfef9a18b685d000348,Striker Pub & Brewery,Global Foyer Mall,SPB,https://www.zomato.com/ncr/striker-pub-and-brewery-golf-course-road-gurgaon,
531b2a86fada152b630002b4,Striker Pub & Kitchen,Ambience Mall VK,SPK,https://www.zomato.com/ncr/striker-pub-and-kitchen-vasant-kunj-delhi,
531ec1c05b2e10b974000006,Pizzavito,South Point Mall,PZV,https://www.zomato.com/ncr/pizzavito-golf-course-road-gurgaon,http://www.foodpanda.in/restaurant/n8mb/pizza-vito
5332a2924871e79576000c27,Tughlaq,Cross Point Mall,TGF,https://www.zomato.com//ncr/tughlaq-dlf-phase-4-gurgaon,http://www.foodpanda.in/restaurant/n3ux/tughlaq
5332a73e4871e79576000c3a,Coffee & Chai Co,South Point Mall,CCC,https://www.zomato.com/ncr/coffee-chai-co-golf-course-road-gurgaon,
5332a8e24871e79576000c41,Chin Chin,Sec 29,CHN,https://www.zomato.com/ncr/chin-chin-sector-29-gurgaon,http://www.foodpanda.in/restaurant/n4fi/chin-chin
533544ff5efa419d1e00012f,Shawarma House,Central Plaza Mall,SHW,https://www.zomato.com/ncr/shawarma-house-golf-course-road-gurgaon,http://www.foodpanda.in/restaurant/n5yk/shawarma-house
534b82cb0a9281e4520001bf,CupnCake Factory,Ninex City Mart,CNC,https://www.zomato.com/ncr/the-cupncake-factory-sohna-road-gurgaon,
53635547bc7238613e000022,Italiano (Phase 3),DLF Ph 3,IT1,https://www.zomato.com/ncr/italiano-dlf-phase-3-gurgaon,
53636f5fbc7238613e000032,Italiano (Cyber Hub),Cyber Hub,IT2,https://www.zomato.com/ncr/italiano-dlf-cyber-city-gurgaon,
53637721bc7238613e000037,Italiano (Mega Mall),Mega Mall,IT3,https://www.zomato.com/ncr/italiano-dlf-phase-1-gurgaon,
537dab58870674306200001b,Café Gartino,Sec 29,CGT,https://www.zomato.com/ncr/cafe-gartino-sector-29-gurgaon,
538363793557ce320800002f,Deewani Haandi,Supermart 1,DHI,https://www.zomato.com/ncr/deewani-haandi-dlf-phase-4-gurgaon,
539d95e1de8a546c09200397,Café Wanderlust,DLF Galleria,WNL,https://www.zomato.com/ncr/cafe-wanderlust-dlf-phase-4-gurgaon,
539e821dde8a546c092003da,Big Wong (Baani Square),Baani Square,BW1,https://www.zomato.com/ncr/big-wong-south-city-2-gurgaon,http://www.foodpanda.in/restaurant/n1qw/big-wong
539e8397de8a546c092003e0,Big Wong Galleria),DLF Galleria,BW2,https://www.zomato.com/ncr/big-wong-dlf-phase-4-gurgaon,http://www.foodpanda.in/restaurant/n1qw/big-wong
53a1c5152b5309f3233cafdc,Fruit Press (Cybercity),Cybercity,FP1,https://www.zomato.com/ncr/fruit-press-dlf-cyber-city-gurgaon,
53a1cf0b2b5309f3233cb03c,Fruit Press (Sec 21),Sec 21,FP2,https://www.zomato.com/ncr/fruit-press-sector-21-gurgaon,
53b3a93c484910756eadd591,Crusty - Gourmet Pizza & More (Baani Square),Baani Square,CG2,https://www.zomato.com/ncr/crusty-gourmet-pizzas-more-south-city-2-gurgaon,
53c147da2ad30fd5432a248b,Brewer Street,ILD Trade Centre,BST,https://www.zomato.com/ncr/brewer-street-sohna-road-gurgaon,
53c152212ad30fd5432a24a4,Eggers Madhouse,HUDA Metro Park,EMH,https://www.zomato.com/ncr/eggers-madhouse-sector-29-gurgaon,
53d1346bbba01de22751971f,Pita Pan,HUDA Metro Park,PTP,https://www.zomato.com/ncr/pita-pan-sector-29-gurgaon,
53d74613cb91a8f8497a65f5,Kung Fu Chow,HUDA Metro Park,KCH,https://www.zomato.com/ncr/kung-fu-chow-sector-29-gurgaon,
53d74fd8cb91a8f8497a660b,Crust Bistro,HUDA Metro Park,CRB,https://www.zomato.com/ncr/crust-bistro-sector-29-gurgaon,
53e1f66ae3a03ce91ac6072b,Petooz,HUDA Metro Park,PTZ,https://www.zomato.com/ncr/petooz-sector-29-gurgaon,
53f4d386fefc1e08266727ce,Zaika Punjabi,HUDA Metro Park,ZKP,https://www.zomato.com/ncr/zaika-punjabi-sector-29-gurgaon,
53f5aedefefc1e08266728ee,Potato Lovers Unltd (Galleria),DLF Galleria,PL1,https://www.zomato.com/ncr/potato-lovers-unltd-dlf-phase-4-gurgaon,
53f5b054fefc1e08266728f4,Potato Lovers Unltd (HUDA Metro Park),HUDA Metro Park,PL2,https://www.zomato.com/ncr/potato-lovers-unltd-sector-29-gurgaon,
53f5b5cafefc1e08266728f9,Potato Lovers Unltd (MGF Metropolitan Mall),MGF Metropolitan Mall,PL3,,
53f6ff213da5b6dc2ee9dc67,Midnight Sutra,Roshanpura,MNS,https://www.zomato.com/ncr/midnight-sutra-sector-8-gurgaon,http://www.foodpanda.in/restaurant/v8ts/midnight-sutra
53fc29b00d7b347d37a429a9,Rumi's Kitchen,DLF Ph 1,RMK,https://www.zomato.com/ncr/rumis-kitchen-1-dlf-phase-1-gurgaon,http://www.foodpanda.in/restaurant/n0cn/rumi-s-kitchen
5402cc64ad0d0ffd5aa44817,Captain Bill$ Delivers,Golf Course Rd,CB1,https://www.zomato.com/ncr/captain-bill-deliverz-golf-course-road-gurgaon,http://www.foodpanda.in/restaurant/n2mj/captain-bills
5402cdf7ad0d0ffd5aa44825,Captain Bill$ Delivers,Sohna Road,CB2,https://www.zomato.com/ncr/captain-bill-deliverz-sohna-road-gurgaon,http://www.foodpanda.in/restaurant/n2mj/captain-bills
5402d681ad0d0ffd5aa44845,Cherry Comet,Cyber Hub,CMT,https://www.zomato.com/ncr/cherry-comet-dlf-cyber-city-gurgaon,
54046f00ad0d0ffd5aa44ce0,Pep Box,HUDA Metro Park,PBX,https://www.zomato.com/ncr/pep-box-sector-29-gurgaon,
540ea0a72f61834b5170eb06,7 Degrees Brauhaus,South Point Mall,7BR,https://www.zomato.com/ncr/7-degrees-brauhaus-golf-course-road-gurgaon,
540ea67d2f61834b5170eb16,Cafe 7,South Point Mall,7CF,https://www.zomato.com/ncr/cafe-7-golf-course-road-gurgaon,
540f29192f61834b5170ec5e,Leaping Caravan,DLF Ph 4,LPC,https://www.zomato.com/ncr/leaping-caravan-dlf-phase-4-gurgaon,http://www.foodpanda.in/restaurant/n5nv/leaping-caravan
540ea3d32f61834b5170eb10,Beyond Breads,DLF Ph 1,BBR,https://www.zomato.com/ncr/beyond-breads-dlf-phase-1-gurgaon,
5412f867d19d8b205b7666c3,Chicago Pizza,HUDA Metro Park,CPZ,https://www.zomato.com/ncr/chicago-pizza-dlf-cyber-city-gurgaon,
